asset_path,source_migration_file,source_url,original_w,original_h,committed_w,committed_h,slot,min_required_w,consent_basis
site/src/assets/images/photos/rollerski-treats.jpg,migration/slack_photos/2026-05-24_1779640641-920619_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3648,2736,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/dry-tri-rider.jpg,migration/slack_photos/2025-10-25_1761420816-201549_6.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3456,5184,1707,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/pride-ski.jpg,migration/slack_photos/2025-06-26_1750984748-186189_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/borah-epic.jpg,migration/slack_photos/2026-06-06_1780772360-139449_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/northshore-inline.jpg,migration/slack_photos/2025-09-14_1757886642-466169_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3024,4032,1920,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/dry-tri-runner.jpg,migration/slack_photos/2025-10-25_1761420816-201549_5.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3456,5184,1707,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/dry-tri-roller.jpg,migration/slack_photos/2025-10-25_1761420816-201549_7.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3456,5184,1707,2560,mosaic,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/team-banner.jpg,migration/slack_photos/2024-03-30_1711812078-797759_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),5833,3282,2560,1440,page_header,1920,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/canoe-social.jpg,migration/slack_photos/2024-07-09_1720579793-084489_1.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,page_header,1920,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/race-crew-frosty.jpg,migration/slack_photos/2023-01-21_1674324661-077579_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,page_header,1920,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/rollerski-golden-hour.jpg,migration/slack_photos/2024-08-13_1723597154-617769_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,page_body,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/backyard-social.jpg,migration/slack_photos/2024-05-16_1715917971-931869_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4032,3024,2560,1920,page_body,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/run-club-selfie.jpg,migration/slack_photos/2026-04-23_1776954511-019769_2.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4896,3672,2560,1920,page_body,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/winter-five.jpg,migration/slack_photos/2023-01-08_1673242364-942339_1.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),3264,2448,2560,1920,page_body,800,member-posted-club-slack; see migration/CONSENT.md
site/src/assets/images/photos/lakeside-picnic.jpg,migration/slack_photos/2024-03-03_1709501583-457379_0.jpg,slack://twincitiesskiclub/#photos-videos (see migration/slack_photos/manifest.csv),4080,3072,2560,1928,page_body,800,member-posted-club-slack; see migration/CONSENT.md
