url,requested_url,local_filename,page,alt_text,width,height
"https://static.wixstatic.com/media/39aeda_53498694b7e0427eaaee884871d1f187~mv2.jpg/v1/fill/w_509,h_384,q_90,enc_avif,quality_auto/39aeda_53498694b7e0427eaaee884871d1f187~mv2.jpg",https://static.wixstatic.com/media/39aeda_53498694b7e0427eaaee884871d1f187~mv2.jpg,racing-08-b1299a84.jpg,racing,,4080,3072
"https://static.wixstatic.com/media/39aeda_5372cb0819454a5d86f31e46a0942f3a~mv2.jpg/v1/fill/w_253,h_189,q_90,enc_avif,quality_auto/39aeda_5372cb0819454a5d86f31e46a0942f3a~mv2.jpg",https://static.wixstatic.com/media/39aeda_5372cb0819454a5d86f31e46a0942f3a~mv2.jpg,racing-09-325fb3fb.jpg,racing,,2259,1683
"https://static.wixstatic.com/media/39aeda_631db1ff3ead426eb59c2766e36315ec~mv2.jpg/v1/fill/w_158,h_164,q_90,enc_avif,quality_auto/39aeda_631db1ff3ead426eb59c2766e36315ec~mv2.jpg",https://static.wixstatic.com/media/39aeda_631db1ff3ead426eb59c2766e36315ec~mv2.jpg,racing-10-c77e48f9.jpg,racing,,2250,2332
"https://static.wixstatic.com/media/39aeda_9f1da754453940dbbfb020066f218685~mv2.jpg/v1/fill/w_181,h_272,q_90,enc_avif,quality_auto/39aeda_9f1da754453940dbbfb020066f218685~mv2.jpg",https://static.wixstatic.com/media/39aeda_9f1da754453940dbbfb020066f218685~mv2.jpg,racing-11-a2b3aa75.jpg,racing,,1363,2048
"https://static.wixstatic.com/media/39aeda_9f703fb096284f87a32f799f134c9314~mv2.jpg/v1/fill/w_286,h_215,q_90,enc_avif,quality_auto/39aeda_9f703fb096284f87a32f799f134c9314~mv2.jpg",https://static.wixstatic.com/media/39aeda_9f703fb096284f87a32f799f134c9314~mv2.jpg,racing-12-4d034c8a.jpg,racing,,4032,3024
"https://static.wixstatic.com/media/39aeda_a2a61c42440d44aca3ee7af75a94aef1~mv2.jpg/v1/fill/w_181,h_272,q_90,enc_avif,quality_auto/39aeda_a2a61c42440d44aca3ee7af75a94aef1~mv2.jpg",https://static.wixstatic.com/media/39aeda_a2a61c42440d44aca3ee7af75a94aef1~mv2.jpg,racing-13-3949197c.jpg,racing,,1363,2048
"https://static.wixstatic.com/media/39aeda_bde8951afb3148248c34d999419de425~mv2.jpg/v1/fill/w_189,h_126,q_90,enc_avif,quality_auto/39aeda_bde8951afb3148248c34d999419de425~mv2.jpg",https://static.wixstatic.com/media/39aeda_bde8951afb3148248c34d999419de425~mv2.jpg,racing-14-5689411e.jpg,racing,,6240,4160
"https://static.wixstatic.com/media/39aeda_bf8b51f3793e44a9966b643e6e7affd1~mv2.jpg/v1/fill/w_397,h_530,q_90,enc_avif,quality_auto/39aeda_bf8b51f3793e44a9966b643e6e7affd1~mv2.jpg",https://static.wixstatic.com/media/39aeda_bf8b51f3793e44a9966b643e6e7affd1~mv2.jpg,racing-15-55e382cf.jpg,racing,,3024,4032
"https://static.wixstatic.com/media/39aeda_cc5a492f0b7c48d0a3608dc665086515~mv2.jpg/v1/fill/w_137,h_182,q_90,enc_avif,quality_auto/39aeda_cc5a492f0b7c48d0a3608dc665086515~mv2.jpg",https://static.wixstatic.com/media/39aeda_cc5a492f0b7c48d0a3608dc665086515~mv2.jpg,racing-16-078437a5.jpg,racing,,3024,4032
"https://static.wixstatic.com/media/39aeda_cc76cd8416e4476ba76df8e497a40b9d~mv2.jpg/v1/fill/w_161,h_215,q_90,enc_avif,quality_auto/39aeda_cc76cd8416e4476ba76df8e497a40b9d~mv2.jpg",https://static.wixstatic.com/media/39aeda_cc76cd8416e4476ba76df8e497a40b9d~mv2.jpg,racing-17-ec9f512b.jpg,racing,,480,640
"https://static.wixstatic.com/media/39aeda_e34aa6cdc3c146c1ac22575256c5d224~mv2.jpg/v1/fill/w_260,h_346,q_90,enc_avif,quality_auto/39aeda_e34aa6cdc3c146c1ac22575256c5d224~mv2.jpg",https://static.wixstatic.com/media/39aeda_e34aa6cdc3c146c1ac22575256c5d224~mv2.jpg,racing-18-8cd86d86.jpg,racing,,2126,2835
"https://static.wixstatic.com/media/39aeda_f2f4ea9113dd4373b771e315e39f7309~mv2.jpg/v1/fill/w_458,h_305,q_90,enc_avif,quality_auto/39aeda_f2f4ea9113dd4373b771e315e39f7309~mv2.jpg",https://static.wixstatic.com/media/39aeda_f2f4ea9113dd4373b771e315e39f7309~mv2.jpg,racing-19-10d2592f.jpg,racing,,1500,998
"https://static.wixstatic.com/media/39aeda_6deb2773b03048ddb784990a7fd930d6~mv2.png/v1/fill/w_452,h_88,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/TCO_stacked_grey_blue.png",https://static.wixstatic.com/media/39aeda_6deb2773b03048ddb784990a7fd930d6~mv2.png,sponsors-00-1ae83cc3.png,sponsors,TCO_stacked_grey_blue.png,8190,1595
"https://static.wixstatic.com/media/39aeda_ddf71c2ceef4453cb0d1c8eed2ef12c5~mv2.jpg/v1/fill/w_193,h_193,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/KwikTripStacked_RedBG.jpg",https://static.wixstatic.com/media/39aeda_ddf71c2ceef4453cb0d1c8eed2ef12c5~mv2.jpg,sponsors-01-079cd33a.jpg,sponsors,KwikTripStacked_RedBG.jpg,620,620
